id         ,name                                                                                                ,owner_id   ,description                                                                                                                                                                                                                                                     ,created_at             
-----------,----------------------------------------------------------------------------------------------------,-----------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-----------------------
          1,Group Finance                                                                                       ,          5,Owners of global sales data assets                                                                                                                                                                                                                              ,2026-01-27 17:16:54.740
          2,Marine Finance                                                                                      ,          4,Owners of personnel data                                                                                                                                                                                                                                        ,2026-01-27 17:16:54.740
          3,Land Finance                                                                                        ,          5,admin group                                                                                                                                                                                                                                                     ,2026-01-27 17:29:33.810
       1002,Aviation Finance                                                                                    ,          3,P&SC Marine                                                                                                                                                                                                                                                     ,2026-02-17 12:23:05.140
       2002,Test group                                                                                          ,          2,Testing access                                                                                                                                                                                                                                                  ,2026-02-26 13:26:37.613

(5 rows affected)
